Date	Open	High	Low	Close	Volume
13/12/2019 16:30:00	144.43	144.66	143.52	143.52	11100
16/12/2019 16:30:00	144.89	145.16	144.89	145.32	1175
17/12/2019 16:30:00	145.1	145.19	144.9	145.08	7137
18/12/2019 16:30:00	145.12	145.39	145.07	145.19	3112
19/12/2019 16:30:00	145.27	145.37	144.91	145.37	12567
20/12/2019 16:30:00	145.52	146.08	145.49	146.04	5517
23/12/2019 16:30:00	146.13	146.22	146	146.02	9839
24/12/2019 12:30:00	146.29	146.29	146.06	146.11	259
27/12/2019 16:30:00	147	147.39	147	147.01	623
30/12/2019 16:30:00	147.02	147.08	145.96	146.32	14282
31/12/2019 12:30:00	146.1	146.2	146.02	146.12	499
02/01/2020 16:30:00	147.47	147.52	147.03	147.35	3192
03/01/2020 16:30:00	146.86	146.86	145.88	146.76	13953
06/01/2020 16:30:00	146.14	146.59	145.5	146.41	1332
07/01/2020 16:30:00	146.85	147.38	146.53	146.86	13598
08/01/2020 16:30:00	146.62	146.9	146.62	147.07	1199
09/01/2020 16:30:00	148.18	148.18	147.92	147.84	2590
10/01/2020 16:30:00	148.34	148.48	148.34	148.22	1358
13/01/2020 16:30:00	148.41	148.41	148.13	148.4	10079
14/01/2020 16:30:00	148.73	148.79	148.66	148.75	6268
15/01/2020 16:30:00	148.62	149.07	148.6	149.07	427
16/01/2020 16:30:00	149.36	149.41	149.25	149.3	991
17/01/2020 16:30:00	149.99	150.24	149.83	150.04	46261
20/01/2020 16:30:00	149.75	149.93	149.74	149.92	14842
21/01/2020 16:30:00	149	149.7	148.58	149.7	32910
22/01/2020 16:30:00	150.07	150.12	149.68	150.01	35933
23/01/2020 16:30:00	149.35	149.46	148.48	148.57	3818
24/01/2020 16:30:00	149.7	149.94	149.18	149.4	5298
27/01/2020 16:30:00	146.6	146.7	145.35	145.7	10647
28/01/2020 16:30:00	146.39	146.68	145.53	146.76	1217
29/01/2020 16:30:00	147.14	147.44	146.8	147.22	266
30/01/2020 16:30:00	145.41	145.88	145.3	145.59	7977
31/01/2020 16:30:00	146.41	146.41	144.49	144.67	5003
03/02/2020 16:30:00	144.78	145.42	144.65	145.28	43236
04/02/2020 16:30:00	146.38	147.7	146.38	147.7	5262
05/02/2020 16:30:00	148.83	149.11	148.34	148.64	12545
06/02/2020 16:30:00	149.38	149.63	149.24	149.49	5342
